Reference,Quantity,Value,Footprint,Total Price,LCSC Part
"C1,C2,C3,C16,C17,C34,C35",7,4.7uF,Capacitor_SMD:C_0402_1005Metric,$0.85,C368809
"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C19",11,100nF,Capacitor_SMD:C_0402_1005Metric,$0.46,C1525
"C18,C36",2,10uF,Capacitor_SMD:C_0402_1005Metric,$0.65,C315248
"C20,C21",2,15pF,Capacitor_SMD:C_0402_1005Metric,$0.36,C1548
C22,1,33pF,Capacitor_SMD:C_0402_1005Metric,$0.43,C70465
C23,1,0.1uF,Capacitor_SMD:C_0402_1005Metric,$0.46,C1525
"C24,C25,C26,C27,C28,C29,C30,C31,C32,C33",10,1uF,Capacitor_SMD:C_0402_1005Metric,$0.50,C52923
"D1,D2,D3,D4",4,LED,LED_SMD:LED_0805_2012Metric,$0.50,C25170728
"D5,D6,D7",3,MBR0530,Diode_SMD:D_SOD-123,$0.89,C725477
J3,1,LEMO2,Connector_Molex:Molex_CLIK-Mate_502494-0270_1x02-1MP_P2.00mm_Horizontal,$0.56,C587928
J4,1,Micro_SD_Card,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,$1.79,C114218
L1,1,3.3u,CustomFootprints:Inductor,$1.43,C42411119
L3,1,47uH 500mA,Inductor_SMD:L_APV_ANR4018,$0.79,C167808
P1,1,USB_C_Plug_USB2.0,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,$1.31,C3020560
Q1,1,Si1308EDL,Package_TO_SOT_SMD:SOT-323_SC-70,$0.43,C7603347
R1,1,33Ω,Resistor_SMD:R_0402_1005Metric,$0.18,C453643
"R2,R3",2,27Ω,Resistor_SMD:R_0402_1005Metric,$0.20,C2909343
R4,1,5.1kΩ,Resistor_SMD:R_0402_1005Metric,$0.19,C2906874
"R5,R6,R7,R18",4,470Ω,Resistor_SMD:R_0402_1005Metric,$0.26,C25117
R8,1,0Ω,Resistor_SMD:R_0402_1005Metric,$0.36,C106231
"R9,R10,R11",3,1kΩ,Resistor_SMD:R_0402_1005Metric,$0.22,C11702
"R12,R13,R14,R19",4,10kΩ,Resistor_SMD:R_0402_1005Metric,$0.19,C71617
R15,1,47Ω,Resistor_SMD:R_0402_1005Metric,$0.18,C2909362
R16,1,1MΩ,Resistor_SMD:R_0402_1005Metric,$0.26,C93949
R17,1,2.2Ω,Resistor_SMD:R_0402_1005Metric,$0.20,C2906903
SW1,1,Boot,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW2,1,Run,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW3,1,Up,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW4,1,Down,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW5,1,Left,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW6,1,Right,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
SW7,1,Confirm,Button_Switch_SMD:SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,$0.29,C2915174
U1,1,RP2350A,Package_DFN_QFN:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,$1.30,C42411118
U2,1,MCP73871,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,$2.20,C511310
U3,1,W25Q128JVS,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,$2.53,C113767
U4,1,SRV05-4,Package_TO_SOT_SMD:SOT-23-6,$0.56,C2836319
U5,1,Conn,Connector_FFC-FPC:Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,$0.66,C262567
U6,1,ST25DV64K-JFR6D3,Package_DFN_QFN:ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,$2.11,C2654868
U7,1,Radio Module 2,CustomFootprints:rpi_rmc20452t,"",""
Y1,1,ABM8-272-T3,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,$0.32,C19270184
